bitnameid,bitid,bitname
500,105,L1_DoubleEG8
501,35,L1_DoubleTauJet40
502,86,L1_Mu3_EG8
503,83,L1_Mu3_Jet20
504,88,L1_Mu5_TauJet16
505,112,L1_SingleJet20_NotBptxOR
506,24,L1_DoubleMu3_EG5
507,87,L1_EG18er_JetC_Cen28_Tau20_dPhi1
508,46,L1_ETT80
509,14,L1_Mu12_EG7
510,48,L1_SingleEG18er
511,127,L1_SingleMuBeamHalo
512,108,L1_TripleJetC_52_28_28
513,104,L1_TripleJet_64_48_28_VBF
514,105,L1_TripleJet_68_48_32_VBF
515,97,L1_TripleMu0_HighQ
516,3,L1_ZeroBias_Instance1
517,85,L1_Mu7er_ETM26
518,111,L1_DoubleEG3_FwdVeto
519,85,L1_DoubleMu7_EG7
520,24,L1_DoubleTauJet36er
521,31,L1_EG2_ZdcCalo_NotBscMinBiasThresh2_BptxAND
522,64,L1_ETM50_BptxAND
523,52,L1_SingleJet80_Central_BptxAND
524,46,L1_SingleEG12
525,51,L1_SingleEG30
526,85,L1_DoubleEG6_HTT25
527,91,L1_Mu0_HTT25
528,118,L1_DoubleMu5_TotemDiffractive
529,11,L1_Mu3_Jet36
530,9,L1_SingleJet12_BptxAND
531,15,L1_SingleJet16_BptxAND
532,116,L1_SingleMu20_TotemDiffractive
533,113,L1_DoubleJetC56_ETM60
534,104,L1_Mu0er_ETM55
535,32,L1_SingleEG35er
536,35,L1_SingleIsoEG28er
537,27,L1_SingleMu30er
538,104,L1_DoubleEG5
539,11,L1_DoubleHfRingEtSumsRing1_P200N200
540,106,L1_DoubleMuOpen
541,99,L1_DoubleTauJet14U
542,70,L1_HTT100
543,1,L1_MinBias_HTT10
544,45,L1_SingleEG1
545,49,L1_SingleEG10
546,101,L1_SingleForJet4U
547,2,L1_SingleHfBitCountsRing1_1
548,6,L1_SingleHfRingEtSumsRing2_4
549,40,L1_SingleIsoEG5
550,15,L1_SingleJet6U
551,62,L1_SingleMu20
552,58,L1_SingleMu5
553,30,L1_SingleTauJet10U
554,33,L1_SingleTauJet50U
555,111,L1_SingleCenJet4U
556,80,L1_BptxMinus
557,75,L1_DoubleIsoEG05_TopBottom
558,100,L1_DoubleIsoEG8
559,84,L1_SingleEG5_Endcap
560,83,L1_SingleIsoEG5_Endcap
561,24,L1_SingleJet10U_Barrel
562,26,L1_SingleJet30U_Barrel
563,127,L1_TauJet10U_ETM40
564,25,L1_BscHaloBeam1Outer
565,23,L1_BscHaloBeam2Outer
566,84,L1_BptxMinus_NotBptxPlus
567,85,L1_BptxXOR_BscMinBiasOR
568,37,L1_BscMinBiasThreshold2
569,64,L1_ETM12
570,74,L1_ETT100
571,105,L1_ETT30
572,98,L1_QuadJet6U
573,43,L1_HcalHfMmOrPpOrPm
574,25,L1_NotBsc2_BptxAND_BscMinBiasOR
575,91,L1_NotBsc2_HcalHfCoincidencePm
576,14,L1_SingleJet20U_BptxAND
577,38,L1_ZdcCaloMinus
578,40,L1_ZdcCaloMinus_BptxAND
579,111,L1_ZdcScintTightVertex
580,45,L1_SingleIsoEG12_Eta2p17
581,21,L1_SingleJet80_Central
582,63,L1_SingleMu25
583,122,L1_BptxMinus_NotBptxPlus
584,121,L1_BptxPlus_NotBptxMinus
585,79,L1_DoubleIsoEG10
586,36,L1_DoubleTauJet36_Eta2p17
587,88,L1_EG5_DoubleJet20_Central
588,116,L1_EG5_HTT125
589,31,L1_Jet52_Central_ETM30
590,49,L1_SingleEG22
591,98,L1_SingleJet20_Central_NotBptxOR_NotMuBeamHalo
592,32,L1_SingleJet52_Central
593,97,L1_DoubleForJet20_EtaOpp
594,24,L1_DoubleMu0_Eta1p5
595,58,L1_SingleMu7_Barrel
596,34,L1_SingleTauJet80
597,108,L1_TripleJet28
598,33,L1_EG12_ForJet16
599,75,L1_NotBsc2_BptxAND_HcalHfCoincPmORBscMinBiasThresh1
600,54,L1_DoubleMu3er_HighQ_WdEta22
601,99,L1_ETT140
602,73,L1_HTT200
603,77,L1_Mu10er_JetC12_WdEtaPhi1_DoubleJetC_32_12
604,75,L1_Mu10er_JetC32
605,51,L1_SingleEG24
606,78,L1_SingleJetC32_NotBptxOR
607,39,L1_TripleEG_12_7_5
608,6,L1_IsoEG12er_ETM30
609,91,L1_IsoEG12er_ETM36
610,1,L1_AlwaysTrue
611,38,L1_DoubleEG_13_7
612,76,L1_DoubleJetC64
613,114,L1_DoubleMu0_Eta1p6_WdEta18
614,123,L1_DoubleMu0_Eta1p6_WdEta18_OS
615,116,L1_DoubleEG8_BptxAND
616,65,L1_ETT140_BptxAND
617,70,L1_ETT2000
618,41,L1_SingleJet80_BptxAND
619,58,L1_SingleMu5_BptxAND
620,55,L1_SingleMuOpen_BptxAND
621,14,L1_SingleJet16
622,21,L1_SingleJet92_Central
623,34,L1_BptxPlus_NotBptxMinus
624,91,L1_BscMinBiasOR_BptxAND
625,47,L1_SingleEG5_BptxAND
626,122,L1_HcalHfSingleChannel_BptxAND_Instance1
627,103,L1_DoubleEG_20_10_1LegIso
628,84,L1_Mu14er_ETM30
629,13,L1_Mu16er_TauJet20er
630,39,L1_SingleJet240
631,88,L1_SingleJet10U_NotBptxC
632,0,L1_ZeroBias
633,9,L1_DoubleHfBitCountsRing2_P1N1
634,65,L1_ETM20
635,73,L1_HTM30
636,44,L1_SingleIsoEG15
637,59,L1_SingleMu7
638,55,L1_SingleMuOpen
639,68,L1_ETM80
640,67,L1_ETM40
641,123,L1_IsoEG10_TauJet8U
642,115,L1_Mu3QFC_Jet6U
643,24,L1_BscHaloBeam1Inner
644,22,L1_BscHaloBeam2Inner
645,102,L1_SingleEG1
646,2,L1_BscMinBiasInnerThreshold1_BptxAND
647,102,L1_ETT30_BptxAND
648,26,L1_NotBsc2_BptxAND_BscMinBiasInnerThreshold1
649,79,L1_NotBsc2_BptxAND_HcalHfMmpOrMpp
650,42,L1_ZdcCaloPlus_ZdcCaloMinus_BptxAND
651,30,L1_ZdcScintTightVertex_BptxAND
652,42,L1_SingleEG12_Eta1p39
653,102,L1_SingleJet36_FwdVeto
654,41,L1_SingleMu12_Debug
655,37,L1_SingleMu7_Eta2p1
656,108,L1_TripleJet28_Central
657,124,L1_Bsc2Minus_BptxMinus
658,25,L1_DoubleMu0_HighQ
659,93,L1_DoubleMu3
660,94,L1_DoubleMu3p5
661,24,L1_DoubleMuOpen_EG5
662,37,L1_DoubleTauJet44_Eta2p17
663,64,L1_ETM100
664,67,L1_ETM50
665,77,L1_ETT300_EG5
666,119,L1_HTT50_HTM30
667,91,L1_Mu10_Jet36_Central
668,84,L1_Mu3_Jet28_Central
669,48,L1_SingleEG18
670,42,L1_SingleMu14_Eta2p1
671,89,L1_TripleJet_36_36_16_Central
672,46,L1_SingleEG12_Eta2p17
673,76,L1_ETT260_EG5
674,75,L1_ETT20
675,35,L1_DoubleJetC44_Eta1p74_WdEta4
676,96,L1_DoubleJetC56
677,33,L1_EG22_ForJet24
678,72,L1_HTT175
679,121,L1_HTT50
680,74,L1_Mu10er_JetC12_WdEtaPhi1_DoubleJetC_20_12
681,11,L1_Mu3p5_EG12
682,10,L1_Mu4_HTT125
683,107,L1_QuadJetC36
684,112,L1_SingleJetC20_NotBptxOR
685,120,L1_SingleJet52_RomanPotsOR
686,122,L1_SingleMu18er
687,60,L1_SingleMu20er
688,89,L1_SingleMu6_NotBptxOR
689,83,L1_DoubleJet24
690,119,L1_DoubleEG5_RomanPotsOR
691,116,L1_ETM70_NotJet52WdPhi2
692,12,L1_IsoEG20er_TauJet20er_NotWdEta0
693,73,L1_EG5_ZdcCalo_NotBscMinBiasThresh2_BptxAND
694,127,L1_HcalHfCoincPmORBscMinBiasThresh1_BptxAND_instance1
695,32,L1_MuOpen_ZdcCalo_NotHcalHfCoincidencePm_BptxAND
696,34,L1_SingleJet16_Central_NotETT140_BptxAND
697,16,L1_SingleJet52_BptxAND
698,76,L1_SingleJet92_Central_BptxAND
699,47,L1_SingleEG15
700,49,L1_SingleEG20
701,93,L1_DoubleMu_3er_0er_HighQ_WdEta22
702,117,L1_SingleEG20_TotemDiffractive
703,33,L1_BptxMinus_NotBptxPlus
704,80,L1_ETT140
705,10,L1_Mu3_Jet16
706,102,L1_DoubleEG_22_10
707,43,L1_DoubleJetC112
708,48,L1_SingleEG25
709,3,L1_SingleJet16
710,22,L1_SingleJet200
711,119,L1_TripleJet_92_76_64
